name,date,city,temperature,description,country,population,timezone,latitude,longitude,summary
Udaipur Lakeview Music,2025-07-13,Udaipur,32.1,Partly Cloudy,,,,,,"Jaipur (Hindi: Jayapura, pronounced [ˈd͡ʑɛʲpʊɾᵊ] ) is the capital and the largest city of the north-western Indian state of Rajasthan. As of 2011, the city had a population of 3.1 million, making it the tenth most populous city in the country."
Jaisalmer Desert Fair,2025-07-14,Jaisalmer,36.4,Sunny,India,67604.0,,26.916666666,70.916666666,"Jaisalmer , nicknamed The Golden city, is a city in the north-western Indian state of Rajasthan, located 575 kilometres (357 mi) west of the state capital Jaipur, in the heart of the Thar Desert. It serves as the administrative headquarters of Jaisalmer district."
Lucknow Poetry Slam,2025-07-10,Lucknow,32.9,Cloudy,India,3382000.0,,26.847,80.947,An amazing destination for all travelers!
Varanasi Ganga Aarti Fest,2025-07-11,Varanasi,33.3,Sunny,India,1198491.0,,25.318888888,83.012777777,"Varanasi (Hindi pronunciation: [ʋaːˈraːɳəsi], also Benares, Banaras Hindustani pronunciation: [bəˈnaːrəs]) or Kashi, is a city on the Ganges river in northern India that has a central place in the traditions of pilgrimage, death, and mourning in the Hindu world.  The city has a syncretic tradition of Islamic artisanship that underpins its religious tourism."
Bhopal Startup Summit,2025-07-12,Bhopal,31.7,Sunny,India,1883381.0,,23.25,77.416666666,"Bhopal (Hindi: Bhōpāl, pronounced [bʱoːpaːlᵊ] ) is the capital city of the Indian state of Madhya Pradesh and the administrative headquarters of both Bhopal district and Bhopal division. It is known as the City of Lakes, due to presence of various natural and artificial lakes near the city boundary."
Indore Comedy Carnival,2025-07-13,Indore,32.6,Sunny,India,1994397.0,,22.720555555,75.847222222,An unforgettable spot full of wonders!
Gwalior Heritage Day,2025-07-14,Gwalior,33.2,Partly Cloudy,India,1069276.0,,26.2125,78.1775,"Gwalior (Hindi: IPA: [ɡʋɑːlɪjəɾ], ) is a major city in the central Indian state of Madhya Pradesh; It is known as the Music City of India having oldest musical gharana in existence. It is a major sports, cultural, industrial, and political centre in Madhya Pradesh."
Ahmedabad Kite Festival,2025-07-10,Ahmedabad,34.0,Sunny,India,7645000.0,,23.021944444,72.579722222,A beautiful city worth visiting!
Surat Art Show,2025-07-11,Surat,33.3,Cloudy,India,5935000.0,,21.205,72.84,An amazing destination for all travelers!
Gandhinagar Tech Talk,2025-07-12,Gandhinagar,32.8,Sunny,India,9773.0,,12.953,79.141,"Gandhinagar (Gujarati: gāndhīnagara, pronounced ['ɡaːnd̪ʱinəɡəɾᵊ] ) is the capital of the state of Gujarat in India. Gandhinagar is located approximately 23 km north of Ahmedabad, on the west central point of the industrial corridor between the megacities of Delhi and Mumbai."
Kolkata Film Festival,2025-07-10,Kolkata,31.2,Rainy,India,4496694.0,,22.5726723,88.3638815,"Kolkata, also known as Calcutta (its official name until 2001), is the capital and largest city of the Indian state of West Bengal. It lies on the eastern bank of the Hooghly River, 80 km (50 mi) west of the border with Bangladesh."
Darjeeling Tea Expo,2025-07-11,Darjeeling,24.8,Fog,India,118805.0,,27.0375,88.263055555,"Darjeeling (, Nepali: [ˈdard͡ziliŋ], Bengali: [ˈdarˌdʒiliŋ]) is a city in the northernmost region of the Indian state of West Bengal. Located in the Eastern Himalayas, it has an average elevation of 2,045 metres (6,709 ft)."
Siliguri Wildlife Day,2025-07-12,Siliguri,28.4,Cloudy,India,218718.0,,26.71004,88.42851,"Siliguri (, Bengali pronunciation: [ʃiliɡuɽi];  ), also known as Shiliguri, is a major tier-II city in West Bengal. It forms the Twin Cities with the neighbouring city of Jalpaiguri."
Patna Book Fair,2025-07-10,Patna,32.5,Sunny,India,1684222.0,,25.61,85.141388888,An amazing destination for all travelers!
Bodh Gaya Meditation Meet,2025-07-11,Bodh Gaya,31.0,Partly Cloudy,India,52000.0,,24.695,84.9925,An amazing destination for all travelers!
Guwahati Riverfront Concert,2025-07-12,Guwahati,30.6,Rainy,India,1116267.0,,26.1805876,91.750238,"Guwahati (Assamese: [ɡua.ɦa.ti]) the largest city of the Indian state of Assam, and also the largest metropolis in northeastern India. Dispur, the capital of Assam, is in the circuit city region located within Guwahati and is the seat of the Government of Assam."
Srinagar Tulip Show,2025-07-10,Srinagar,22.4,Sunny,India,20216.0,,30.223055555,78.79,"Srinagar ( ; Kashmiri: [siriːnagar]) is a city in Indian-administered  Jammu and Kashmir in the disputed Kashmir region. It is the largest city and summer capital of Jammu and Kashmir, which is an Indian-administered union territory."
Leh Adventure Rally,2025-07-11,Leh,20.8,Cloudy,India,30870.0,,34.164166666,77.584722222,"Soh (Persian: سه; also known as Sō and Sūh) is a village in Murcheh Khvort Rural District, in the Central District of Shahin Shahr and Meymeh County, Isfahan Province, Iran. At the 2006 census, its population was 403, in 141 families."
Manali Mountain Festival,2025-07-12,Manali,21.5,Sunny,India,32363.0,,13.163611111,80.258561111,A beautiful city worth visiting!
Shimla Hill Music Fest,2025-07-13,Shimla,22.7,Fog,India,206575.0,,31.103333333,77.172222222,A beautiful city worth visiting!
Amritsar Light Show,2025-07-14,Amritsar,30.0,Overcast,India,1092450.0,,31.62234,74.87534,"Amritsar, also known as Ambarsar, is the second-largest city in the Indian state of Punjab, after Ludhiana. Located in the Majha region, it is a major cultural, transportation and economic centre."
Chennai StartUp Demo Day,2025-07-16,Chennai,33.0,Sunny,India,6599000.0,,13.0825,80.275,"Chennai, also known as Madras (its official name until 1996), is the capital and largest city of Tamil Nadu, the southernmost state of India. It is located on the Coromandel Coast of the Bay of Bengal."
Hyderabad Film Screening,2025-07-17,Hyderabad,32.6,Partly Cloudy,India,9305000.0,,17.361666666,78.474722222,"Hyderabad is the capital and largest city of the Indian state of Telangana. It occupies 650 km2 (250 sq mi) on the Deccan Plateau along the banks of the Musi River, in the northern part of Southern India."
Pune Art & Music Fiesta,2025-07-18,Pune,29.9,Sunny,India,5945000.0,,18.519574,73.855287,Famous for its unique vibe and attractions.
Varanasi Classical Music Night,2025-07-19,Varanasi,33.5,Sunny,India,1198491.0,,25.318888888,83.012777777,"Varanasi (Hindi pronunciation: [ʋaːˈraːɳəsi], also Benares, Banaras Hindustani pronunciation: [bəˈnaːrəs]) or Kashi, is a city on the Ganges river in northern India that has a central place in the traditions of pilgrimage, death, and mourning in the Hindu world.  The city has a syncretic tradition of Islamic artisanship that underpins its religious tourism."
Bengaluru Gaming Con,2025-07-20,Bengaluru,29.0,Cloudy,India,12327000.0,,12.97194,77.59369,"Bengaluru, also known as Bangalore (its official name until 1 November 2014), is the capital and largest city of the southern Indian state of Karnataka. As per the 2011 census, the city had a population of 8.4 million, making it the third most populous city in India and the most populous in South India."
Thailand Cultural Night,2025-07-11,Bangkok,32.5,Partly Cloudy,,,,,,A beautiful city worth visiting!
Chiang Mai Lantern Fest,2025-07-12,Chiang Mai,30.2,Cloudy,,,,,,An unforgettable spot full of wonders!
Phuket Beach Music Fest,2025-07-13,Phuket,31.0,Sunny,,,,,,An unforgettable spot full of wonders!
Pattaya Carnival,2025-07-14,Pattaya,32.0,Sunny,,,,,,A must-visit place with rich culture!
Turkey Folk Dance Show,2025-07-10,Istanbul,29.4,Sunny,,,,,,An unforgettable spot full of wonders!
Ankara Film Festival,2025-07-11,Ankara,28.1,Sunny,,,,,,An amazing destination for all travelers!
Cappadocia Hot Air Balloon Rally,2025-07-12,Cappadocia,27.3,Clear,,,,,,A must-visit place with rich culture!
Izmir Music Concert,2025-07-13,Izmir,30.0,Sunny,,,,,,An amazing destination for all travelers!
London Summer Fest,2025-07-10,London,22.4,Cloudy,,,,,,A beautiful city worth visiting!
Manchester Book Fair,2025-07-11,Manchester,21.5,Rainy,,,,,,A beautiful city worth visiting!
Edinburgh Fringe Preview,2025-07-12,Edinburgh,19.9,Fog,,,,,,A beautiful city worth visiting!
Birmingham Jazz Night,2025-07-13,Birmingham,22.1,Partly Cloudy,,,,,,A beautiful city worth visiting!
Hong Kong Lantern Parade,2025-07-10,Hong Kong,30.0,Overcast,,,,,,Famous for its unique vibe and attractions.
HK Dragon Boat Race,2025-07-11,Hong Kong,30.2,Rainy,,,,,,Famous for its unique vibe and attractions.
Macau Casino Expo,2025-07-10,Macau,29.5,Sunny,,,,,,An amazing destination for all travelers!
Macau Tech Summit,2025-07-11,Macau,29.0,Partly Cloudy,,,,,,A must-visit place with rich culture!
Paris Fashion Week,2025-07-10,Paris,26.5,Sunny,,,,,,An amazing destination for all travelers!
Paris Street Music Fest,2025-07-11,Paris,26.8,Sunny,,,,,,A beautiful city worth visiting!
Nice Beach Carnival,2025-07-12,Nice,28.2,Sunny,,,,,,Famous for its unique vibe and attractions.
Lyon Food and Wine Show,2025-07-13,Lyon,27.5,Cloudy,,,,,,A beautiful city worth visiting!
Riyadh Cultural Gala,2025-07-10,Riyadh,41.2,Sunny,,,,,,A beautiful city worth visiting!
Jeddah Film Week,2025-07-11,Jeddah,39.9,Overcast,,,,,,A must-visit place with rich culture!
Dammam Heritage Night,2025-07-12,Dammam,40.0,Sunny,,,,,,An amazing destination for all travelers!
Dubai TechCon 2025,2025-07-10,Dubai,42.5,Sunny,,,,,,A beautiful city worth visiting!
Abu Dhabi Startup Pitch Fest,2025-07-11,Abu Dhabi,41.8,Clear,,,,,,Famous for its unique vibe and attractions.
Sharjah Book Fest,2025-07-12,Sharjah,40.6,Sunny,,,,,,An unforgettable spot full of wonders!
Ajman Art Festival,2025-07-13,Ajman,39.5,Sunny,,,,,,A must-visit place with rich culture!
Turkey Anatolian Expo,2025-07-14,Antalya,29.0,Sunny,,,,,,An amazing destination for all travelers!
Marseille Coastal Fest,2025-07-14,Marseille,27.4,Partly Cloudy,,,,,,Famous for its unique vibe and attractions.
Dubai Desert Fest,2025-07-15,Dubai,43.0,Sunny,,,,,,An amazing destination for all travelers!
